city,metric,target,correlation
Delft,green_percent,fwei_change_mean,0.24240825972242247
Delft,area,fwei_change_mean,0.206870165537551
Delft,gyrate,fwei_change_mean,0.20169315944744587
Delft,contig,fwei_change_mean,0.1962389621535968
Delft,enn,fwei_change_mean,-0.08677831602852933
Delft,mean_dist_green,fwei_change_mean,0.16750106018255612
Delft,min_dist_green,fwei_change_mean,0.03304087809704355
Delft,green_percent,flood_share,0.34418681306127746
Delft,area,flood_share,0.396678499113786
Delft,gyrate,flood_share,0.3721487397140917
Delft,contig,flood_share,0.3438027267044306
Delft,enn,flood_share,-0.08275562523872548
Delft,mean_dist_green,flood_share,0.18561276395148055
Delft,min_dist_green,flood_share,0.054285301129623244
Delft,green_percent,pland_flood,0.3441868130612774
Delft,area,pland_flood,0.396678499113786
Delft,gyrate,pland_flood,0.3721487397140917
Delft,contig,pland_flood,0.3438027267044306
Delft,enn,pland_flood,-0.08275562523872548
Delft,mean_dist_green,pland_flood,0.18561276395148055
Delft,min_dist_green,pland_flood,0.05428530112962324
Delft,green_percent,np_flood,0.26441559891933364
Delft,area,np_flood,-0.005162181914250307
Delft,gyrate,np_flood,0.03248945622677135
Delft,contig,np_flood,0.07750276812814831
Delft,enn,np_flood,-0.14736849479269729
Delft,mean_dist_green,np_flood,-0.23533196620777394
Delft,min_dist_green,np_flood,-0.21646707899653722
Delft,green_percent,flood_cohesion,0.24728754564194247
Delft,area,flood_cohesion,0.2621979018399225
Delft,gyrate,flood_cohesion,0.2685805054692098
Delft,contig,flood_cohesion,0.25822507254814214
Delft,enn,flood_cohesion,-0.07631367418595661
Delft,mean_dist_green,flood_cohesion,0.11263806128857319
Delft,min_dist_green,flood_cohesion,0.0035417419091347845
Delft,green_percent,flood_clumpy,-0.06947786506470734
Delft,area,flood_clumpy,0.05394541111148807
Delft,gyrate,flood_clumpy,0.06063176859792655
Delft,contig,flood_clumpy,0.05127968768597321
Delft,enn,flood_clumpy,0.043467559139144574
Delft,mean_dist_green,flood_clumpy,0.213928183656601
Delft,min_dist_green,flood_clumpy,0.18530681944915062
Delft,green_percent,flood_lpi,0.3013828580358627
Delft,area,flood_lpi,0.3860215153347979
Delft,gyrate,flood_lpi,0.3540774293381101
Delft,contig,flood_lpi,0.32028689555229983
Delft,enn,flood_lpi,-0.06376574130547535
Delft,mean_dist_green,flood_lpi,0.2105424353479165
Delft,min_dist_green,flood_lpi,0.07868932611081114
Xi'an,green_percent,fwei_change_mean,0.1577618514497029
Xi'an,area,fwei_change_mean,0.11959176313535864
Xi'an,gyrate,fwei_change_mean,0.09813860657204089
Xi'an,contig,fwei_change_mean,0.07260802326509797
Xi'an,enn,fwei_change_mean,-0.038733710503465725
Xi'an,mean_dist_green,fwei_change_mean,-0.1440590400097602
Xi'an,min_dist_green,fwei_change_mean,-0.19939051932506438
Xi'an,green_percent,flood_share,0.3673477934562205
Xi'an,area,flood_share,0.3088103883329201
Xi'an,gyrate,flood_share,0.2615590112723611
Xi'an,contig,flood_share,0.21613680916697034
Xi'an,enn,flood_share,-0.05440364345401814
Xi'an,mean_dist_green,flood_share,-0.23741430167072788
Xi'an,min_dist_green,flood_share,-0.2678628438939555
Xi'an,green_percent,pland_flood,0.36734779345622043
Xi'an,area,pland_flood,0.3088103883329201
Xi'an,gyrate,pland_flood,0.2615590112723611
Xi'an,contig,pland_flood,0.21613680916697034
Xi'an,enn,pland_flood,-0.05440364345401815
Xi'an,mean_dist_green,pland_flood,-0.23741430167072786
Xi'an,min_dist_green,pland_flood,-0.2678628438939555
Xi'an,green_percent,np_flood,-0.02485352603849207
Xi'an,area,np_flood,-0.13593646419770578
Xi'an,gyrate,np_flood,-0.09133460102021158
Xi'an,contig,np_flood,-0.09587893646753422
Xi'an,enn,np_flood,-0.06935069107563767
Xi'an,mean_dist_green,np_flood,-0.05256098098001195
Xi'an,min_dist_green,np_flood,-0.1908098096099477
Xi'an,green_percent,flood_cohesion,0.23662407262324997
Xi'an,area,flood_cohesion,0.18534925253184692
Xi'an,gyrate,flood_cohesion,0.16125482781648726
Xi'an,contig,flood_cohesion,0.1382768217348668
Xi'an,enn,flood_cohesion,-0.019325972302887025
Xi'an,mean_dist_green,flood_cohesion,-0.20411964721278228
Xi'an,min_dist_green,flood_cohesion,-0.33956787963797186
Xi'an,green_percent,flood_clumpy,0.09270234443149142
Xi'an,area,flood_clumpy,0.12486371196469759
Xi'an,gyrate,flood_clumpy,0.08736697146775789
Xi'an,contig,flood_clumpy,0.09788188605502568
Xi'an,enn,flood_clumpy,0.051303730851404605
Xi'an,mean_dist_green,flood_clumpy,-0.013460171062153123
Xi'an,min_dist_green,flood_clumpy,0.03302964250590546
Xi'an,green_percent,flood_lpi,0.372685214395149
Xi'an,area,flood_lpi,0.33709067126281694
Xi'an,gyrate,flood_lpi,0.280144402713463
Xi'an,contig,flood_lpi,0.23063894712760438
Xi'an,enn,flood_lpi,-0.0479410561559143
Xi'an,mean_dist_green,flood_lpi,-0.22089446205849406
Xi'an,min_dist_green,flood_lpi,-0.22500154774330533
