"id","fwei_change_mean","flood_share","pland_flood","np_flood","flood_cohesion","flood_clumpy","flood_lpi","mean_dist_green","min_dist_green"
1,-0.0132482940851878,0.08,8,5,68.905460693053,0.644648829431438,3.75,4.51451909542084,0
2,0.0122060774183404,0.1075,10.75,10,59.2974498955266,0.502023031434796,2.25,3.40780648519827,0
3,0.0225364814764544,0.1225,12.25,6,76.0818992252151,0.701533034866368,6.75,3.56117295245735,0
4,-0.00453372105140062,0.005,0.5,2,0,1,0.25,8.09016990661621,5
5,0.0062092954743639,0.055,5.5,4,62.8485903840066,0.657640834111422,2.25,12.8268286098133,0
6,0.0127040984360792,0.035,3.5,3,61.1205432937182,0.740932642487047,2.25,12.0250735964094,0
7,0.00684899571966525,0.0275,2.75,3,51.9827926012797,0.520137103684661,1.25,7.18752687627619,0
8,0.00147056546918975,0.0075,0.75,1,44.4894453484604,1,0.75,1.66666666666667,0
9,0.00236812719536374,0.015,1.5,1,62.2896536353828,1,1.5,31.5525849660238,26.9258232116699
10,-0.0120799146125955,0.005,0.5,1,30.8308651382582,1,0.5,25.962911605835,25
11,0.00790768031272591,0.0625,6.25,3,73.6830947056261,0.706666666666667,4.25,6.74373466491699,0
12,0.0229201636928337,0.205,20.5,2,88.7965939829438,0.852526566905227,10.75,6.64716222809582,0
13,0.0168948485527562,0.14,14,5,80.7473807855023,0.832174538479981,9.75,9.44754893439157,0
14,0.0224845976972892,0.125,12.5,3,86.9003876325198,0.784873949579832,11.25,0.782842712402344,0
15,-0.0144060538485473,0.0425,4.25,1,79.7330921014386,0.91644908616188,4.25,0.588235294117647,0
16,-0.0240852190738224,0,0,0,NA,NA,0,NA,NA
17,-0.00257968183722369,0.005,0.5,1,30.8308651382582,1,0.5,12.5,10
18,0.018433863814098,0.06,6,7,57.352048162113,0.496080627099664,2.75,9.687952597936,0
19,0.00660683532490111,0.0125,1.25,1,58.1880425789518,1,1.25,4.41421356201172,0
20,-0.0240995823496792,0.01,1,2,30.8308651382582,0.494949494949495,0.5,9.76569890975952,5
21,-0.0253473863029285,0.035,3.5,1,77.1303955881659,0.896373056994819,3.5,12.9222150530134,5
22,-0.0285181098982866,0,0,0,NA,NA,0,NA,NA
23,-0.0084293115429864,0.0025,0.25,1,0,NA,0.25,14.1421356201172,14.1421356201172
24,0.00735359336368873,0.0025,0.25,1,0,NA,0.25,22.3606796264648,22.3606796264648
25,0.00122166137341992,0,0,0,NA,NA,0,NA,NA
26,-0.0021234510883005,0.005,0.5,1,30.8308651382582,1,0.5,2.5,0
27,0.00478323103581602,0.02,2,2,54.1958020619036,0.795918367346939,1.5,23.2678112983704,14.1421356201172
28,-0.00544209845888872,0.04,4,3,66.2624149457428,0.782986111111111,3.25,6.49352240562439,0
29,-0.00465437617482166,0.0425,4.25,2,72.393173884463,0.91644908616188,3.75,2.96014561372645,0
30,0.0162115760873712,0.035,3.5,3,61.1566244922223,0.481865284974093,1.75,1.07142857142857,0
31,0.00441364722153594,0,0,0,NA,NA,0,NA,NA
32,0.00263595702294424,0.0275,2.75,3,56.7578274850337,0.657240788346187,2,46.5069163929332,36.4005508422852
33,-0.0152271027000643,0.04,4,3,63.8789508712094,0.652777777777778,2.25,2.94194173812866,0
34,0.0112096217666112,0.125,12.5,3,84.8484076799867,0.677310924369748,9.25,3.45432037353516,0
35,-0.00132667758054595,0,0,0,NA,NA,0,NA,NA
36,-0.00955150522440817,0,0,0,NA,NA,0,NA,NA
37,-0.011334457764824,0.0625,6.25,3,70.2190284878621,0.733333333333333,4,0.8,0
38,0.0713293780795357,0.54,54,1,98.1009071848445,0.848583171101017,54,2.63011213585182,0
39,0.0771194066700264,0.7325,73.25,1,99.1136185490844,0.905015519785606,73.25,4.17236906839312,0
40,0.0863831855109311,0.5725,57.25,2,97.5247224405912,0.863045592122383,56,13.0868285066696,0
41,0.0240664336783811,0.23,23,3,88.6250553783568,0.825783972125436,16.5,4.20724499743918,0
42,-0.0155816891520226,0.09,9,1,87.719298245614,0.945054945054945,9,56.1178866492377,30.4138145446777
43,-0.00912238526459987,0.2125,21.25,1,93.8457653779655,0.966361820666456,21.25,15.8403375513413,0
44,0.058534262836256,0.57,57,3,94.286775818402,0.792065663474692,38,31.0012475482205,0
45,0.0130707454893309,0.22,22,2,91.0169976608093,0.787685774946921,18,31.7141015963121,0
46,-0.0396978174192645,0.0125,1.25,1,58.1880425789518,0.79746835443038,1.25,5.23606796264648,0
47,-0.0474855381945963,0.02,2,2,53.5230890372948,0.591836734693878,1.25,2.5,0
48,-0.0352575736765721,0,0,0,NA,NA,0,NA,NA
49,-0.0588450962654315,0,0,0,NA,NA,0,NA,NA
50,-0.12804747890681,0,0,0,NA,NA,0,NA,NA
51,-0.115935123246163,0,0,0,NA,NA,0,NA,NA
52,-0.102616598290624,0,0,0,NA,NA,0,NA,NA
53,-0.0254504361954605,0.005,0.5,1,30.8308651382582,1,0.5,2.5,0
54,-0.0314232621259725,0,0,0,NA,NA,0,NA,NA
55,-0.0032786851883975,0.0525,5.25,4,62.916704714492,0.670184696569921,2.75,8.2449951171875,0
56,0.0181976962237968,0.0075,0.75,2,20.9533576270945,0.496221662468514,0.5,27.1935138702393,15.8113880157471
57,0.0436469843439409,0.3375,33.75,1,96.2035477281698,0.963184537505752,33.75,34.3014850333885,7.07106781005859
58,-0.0389025579939334,0.0625,6.25,2,79.5813418312097,0.733333333333333,5.5,15.7718663024902,5
59,-0.0149322366899651,0.005,0.5,2,0,1,0.25,100.588459014893,96.1769180297852
60,0.195345680655737,0.6175,61.75,1,98.5654235476234,0.977364683247036,61.75,125.014215229977,96.0468673706055
61,0.224364785321013,0.795,79.5,1,99.3602931148206,0.967479674796748,79.5,63.0620860393692,5
62,-0.037864233909786,0.235,23.5,1,94.4060921446443,0.968876439464675,23.5,74.3676394604622,40.3112869262695
63,0.00544988962050411,0.4,40,1,96.9413745785043,0.96031746031746,40,149.567132949829,105
