"metric_1","metric_2","correlation","abs_correlation"
"flood_share","pland_flood",1,1
"elevation_mean","elevation_min",0.999997703237385,0.999997703237385
"flood_share","flood_lpi",0.978664537518624,0.978664537518624
"pland_flood","flood_lpi",0.978664537518624,0.978664537518624
"mean_dist_green","min_dist_green",0.923545499569555,0.923545499569555
"gyrate","contig",0.885123579071385,0.885123579071385
"area","gyrate",0.873293138359039,0.873293138359039
"green_percent","area",0.837402503588678,0.837402503588678
"green_percent","gyrate",0.752335069007736,0.752335069007736
"area","contig",0.723539684427455,0.723539684427455
"fwei_change_mean","flood_share",0.702922487179869,0.702922487179869
"fwei_change_mean","pland_flood",0.702922487179869,0.702922487179869
"fwei_change_mean","flood_lpi",0.669944304944475,0.669944304944475
"flood_share","flood_cohesion",0.656326910052367,0.656326910052367
"pland_flood","flood_cohesion",0.656326910052367,0.656326910052367
"green_percent","contig",0.642593195401749,0.642593195401749
"flood_cohesion","flood_lpi",0.61177728937657,0.61177728937657
"np_flood","flood_clumpy",-0.544476880808452,0.544476880808452
"green_percent","mean_dist_green",-0.49680083326444,0.49680083326444
"contig","elevation_mean",0.481260255887971,0.481260255887971
"contig","elevation_min",0.480980970799201,0.480980970799201
"fwei_change_mean","flood_cohesion",0.449490556960132,0.449490556960132
"flood_cohesion","flood_clumpy",0.422763294395529,0.422763294395529
"area","mean_dist_green",-0.354315693165661,0.354315693165661
"green_percent","min_dist_green",-0.35302195888939,0.35302195888939
"gyrate","mean_dist_green",-0.346250922226886,0.346250922226886
"green_percent","flood_share",0.337831629900695,0.337831629900695
"green_percent","pland_flood",0.337831629900695,0.337831629900695
"area","flood_share",0.333746596259093,0.333746596259093
"area","pland_flood",0.333746596259093,0.333746596259093
"area","flood_lpi",0.333244724899613,0.333244724899613
"gyrate","elevation_mean",0.308232451715598,0.308232451715598
"gyrate","elevation_min",0.307940383788231,0.307940383788231
"green_percent","flood_lpi",0.307445412623311,0.307445412623311
"green_percent","enn",-0.305344810876645,0.305344810876645
